EIF2S1	EIF2AK1_Homo sapiens
TH iso4	CAMK2A_Homo sapiens
RCHY1	CAMK2A_Homo sapiens
TCAP	CAMK2A_Homo sapiens
STMN1	CAMK2A_Homo sapiens
SLN	CAMK2A_Homo sapiens
CHAT iso3	CAMK2A_Homo sapiens
ETS1	CAMK2A_Homo sapiens
TH	CAMK2A_Homo sapiens
SPR	CAMK2A_Homo sapiens
SLC1A3	CAMK2A_Homo sapiens
OPRM1	CAMK2A_Homo sapiens
KIF3A	CAMK2A_Homo sapiens
CDKN1B	CAMK2A_Homo sapiens
SRF	CAMK2A_Homo sapiens
DAGLA	CAMK2A_Homo sapiens
CARD11	CAMK2A_Homo sapiens
RYR2	CAMK2A_Homo sapiens
VIM	CAMK2A_Homo sapiens
PLCB3	CAMK2A_Homo sapiens
ITGB1BP1	CAMK2A_Homo sapiens
NOX5 iso4	CAMK2A_Homo sapiens
SLC6A4	CAMK2A_Homo sapiens
FLNA	CAMK2A_Homo sapiens
CD44	CAMK2A_Homo sapiens
PPP1R14A	CAMK2A_Homo sapiens
Kv7.2 iso4	CAMK2A_Homo sapiens
ESPL1	CAMK2A_Homo sapiens
TH iso3	CAMK2A_Homo sapiens
GFPT1	CAMK2A_Homo sapiens
CTNNB1	CAMK2A_Homo sapiens
SAPAP1 iso2	CAMK2A_Homo sapiens
GRIN2B	CAMK2A_Homo sapiens
GRIA1	CAMK2A_Homo sapiens
ALOX5	CAMK2A_Homo sapiens
GLO1	CAMK2A_Homo sapiens
SNCA	CAMK2A_Homo sapiens
Tau iso8	CAMK2A_Homo sapiens
NR1H2	CAMK2A_Homo sapiens
CLCN3	CAMK2A_Homo sapiens
HSF1	CAMK2A_Homo sapiens
PLN	CAMK2A_Homo sapiens
DDX58	CSNK2A1_Homo sapiens
PAK1	CSNK2A1_Homo sapiens
DDIT3	CSNK2A1_Homo sapiens
MME	CSNK2A1_Homo sapiens
PTEN	CSNK2A1_Homo sapiens
RPS6KA5	CSNK2A1_Homo sapiens
PPP1R2	CSNK2A1_Homo sapiens
CAV2	CSNK2A1_Homo sapiens
SPTBN1	CSNK2A1_Homo sapiens
FAF1	CSNK2A1_Homo sapiens
MYH10	CSNK2A1_Homo sapiens
CDC27	CSNK2A1_Homo sapiens
OCLN	CSNK2A1_Homo sapiens
TARDBP	CSNK2A1_Homo sapiens
L1CAM	CSNK2A1_Homo sapiens
XRCC1	CSNK2A1_Homo sapiens
CBX1	CSNK2A1_Homo sapiens
MAPRE2	CSNK2A1_Homo sapiens
ESR1	CSNK2A1_Homo sapiens
ECE1 iso3	CSNK2A1_Homo sapiens
VTN	CSNK2A1_Homo sapiens
RNPS1	CSNK2A1_Homo sapiens
CTNNA1	CSNK2A1_Homo sapiens
NCOR2	CSNK2A1_Homo sapiens
YY1	CSNK2A1_Homo sapiens
WAS	CSNK2A1_Homo sapiens
NOL3	CSNK2A1_Homo sapiens
DNAJB2	CSNK2A1_Homo sapiens
STAT1	CSNK2A1_Homo sapiens
CERS5	CSNK2A1_Homo sapiens
EIF5	CSNK2A1_Homo sapiens
SLITRK1	CSNK2A1_Homo sapiens
HMGN1	CSNK2A1_Homo sapiens
PACS1	CSNK2A1_Homo sapiens
PLD1	CSNK2A1_Homo sapiens
MAPK9	CSNK2A1_Homo sapiens
JUN	CSNK2A1_Homo sapiens
NCF1	CSNK2A1_Homo sapiens
ATF1	CSNK2A1_Homo sapiens
OTUB1	CSNK2A1_Homo sapiens
MRTO4	CSNK2A1_Homo sapiens
TLE1	CSNK2A1_Homo sapiens
CDH1	CSNK2A1_Homo sapiens
WASF2	CSNK2A1_Homo sapiens
AIP	CSNK2A1_Homo sapiens
CASQ2	CSNK2A1_Homo sapiens
NCAPH	CSNK2A1_Homo sapiens
HOXB7	CSNK2A1_Homo sapiens
GMFB	CSNK2A1_Homo sapiens
SLC3A2	CSNK2A1_Homo sapiens
FMR1	CSNK2A1_Homo sapiens
CERS4	CSNK2A1_Homo sapiens
MDC1	CSNK2A1_Homo sapiens
RRAD	CSNK2A1_Homo sapiens
CD5	CSNK2A1_Homo sapiens
APOE	CSNK2A1_Homo sapiens
PDCL	CSNK2A1_Homo sapiens
CERS6	CSNK2A1_Homo sapiens
CALM1	CSNK2A1_Homo sapiens
SSRP1	CSNK2A1_Homo sapiens
HHEX	CSNK2A1_Homo sapiens
IL16	CSNK2A1_Homo sapiens
DAXX	CSNK2A1_Homo sapiens
SLC9A5	CSNK2A1_Homo sapiens
PSEN2	CSNK2A1_Homo sapiens
SHOX	CSNK2A1_Homo sapiens
IP6K2	CSNK2A1_Homo sapiens
NFKBIA	CSNK2A1_Homo sapiens
ARRB2	CSNK2A1_Homo sapiens
TOP1	CSNK2A1_Homo sapiens
SRPK1	CSNK2A1_Homo sapiens
PIAS1	CSNK2A1_Homo sapiens
MYH2	CSNK2A1_Homo sapiens
SIRT1	CSNK2A1_Homo sapiens
SAT1	CSNK2A1_Homo sapiens
TOP2A	CSNK2A1_Homo sapiens
IGFBP1	CSNK2A1_Homo sapiens
IGFBP3	CSNK2A1_Homo sapiens
SMC3	CSNK2A1_Homo sapiens
SSB	CSNK2A1_Homo sapiens
MYB	CSNK2A1_Homo sapiens
BIK	CSNK2A1_Homo sapiens
CSNK2B	CSNK2A1_Homo sapiens
CREB1	CSNK2A1_Homo sapiens
CTDP1	CSNK2A1_Homo sapiens
TELO2	CSNK2A1_Homo sapiens
RRN3	CSNK2A1_Homo sapiens
ataxin-3 iso2	CSNK2A1_Homo sapiens
PAWR	CSNK2A1_Homo sapiens
MDM2	CSNK2A1_Homo sapiens
STARD10	CSNK2A1_Homo sapiens
TERF1	CSNK2A1_Homo sapiens
NPHP1	CSNK2A1_Homo sapiens
MYL12B	CSNK2A1_Homo sapiens
AKT1	CSNK2A1_Homo sapiens
ACE	CSNK2A1_Homo sapiens
MCM2	CSNK2A1_Homo sapiens
CDC34	CSNK2A1_Homo sapiens
BCAM	CSNK2A1_Homo sapiens
ABCF1	CSNK2A1_Homo sapiens
CD6	CSNK2A1_Homo sapiens
HSP90AA1	CSNK2A1_Homo sapiens
EIF3J	CSNK2A1_Homo sapiens
CARD9	CSNK2A1_Homo sapiens
BRCA1	CSNK2A1_Homo sapiens
CCNH	CSNK2A1_Homo sapiens
SRF	CSNK2A1_Homo sapiens
TUBB3	CSNK2A1_Homo sapiens
RELA	CSNK2A1_Homo sapiens
ECD	CSNK2A1_Homo sapiens
ANP32A	CSNK2A1_Homo sapiens
NOTCH1	CSNK2A1_Homo sapiens
GADD45GIP1	CSNK2A1_Homo sapiens
IGF2R	CSNK2A1_Homo sapiens
ERCC3	CSNK2A1_Homo sapiens
FGF14	CSNK2A1_Homo sapiens
IFI16	CSNK2A1_Homo sapiens
PDIA6	CSNK2A1_Homo sapiens
C1R	CSNK2A1_Homo sapiens
LEF1	CSNK2A1_Homo sapiens
CLIP1	CSNK2A1_Homo sapiens
EIF2S2	CSNK2A1_Homo sapiens
UBE2R2	CSNK2A1_Homo sapiens
TP53	CSNK2A1_Homo sapiens
EEF1D	CSNK2A1_Homo sapiens
AMPH	CSNK2A1_Homo sapiens
ABCC1	CSNK2A1_Homo sapiens
CFTR	CSNK2A1_Homo sapiens
ABCA1	CSNK2A1_Homo sapiens
FURIN	CSNK2A1_Homo sapiens
CETN2	CSNK2A1_Homo sapiens
CALU iso15	CSNK2A1_Homo sapiens
MAPK1	CSNK2A1_Homo sapiens
MYC	CSNK2A1_Homo sapiens
NR4A1	CSNK2A1_Homo sapiens
RNF7	CSNK2A1_Homo sapiens
UIMC1	CSNK2A1_Homo sapiens
CEBPD	CSNK2A1_Homo sapiens
TFPI	CSNK2A1_Homo sapiens
TWIST1	CSNK2A1_Homo sapiens
MYH9	CSNK2A1_Homo sapiens
STX1A	CSNK2A1_Homo sapiens
RAD9A	CSNK2A1_Homo sapiens
HES6	CSNK2A1_Homo sapiens
CDKN1B	CSNK2A1_Homo sapiens
CORO1C	CSNK2A1_Homo sapiens
ANP32B	CSNK2A1_Homo sapiens
VHL	CSNK2A1_Homo sapiens
PIP4K2A	CSNK2A1_Homo sapiens
MYBL1	CSNK2A1_Homo sapiens
EXOSC9	CSNK2A1_Homo sapiens
DPF3 iso2	CSNK2A1_Homo sapiens
MAZ	CSNK2A1_Homo sapiens
MEF2A	CSNK2A1_Homo sapiens
NCAPG	CSNK2A1_Homo sapiens
RAD51	CSNK2A1_Homo sapiens
PAX3	CSNK2A1_Homo sapiens
NFKBIB	CSNK2A1_Homo sapiens
HCLS1	CSNK2A1_Homo sapiens
TNFAIP1	CSNK2A1_Homo sapiens
GGA1	CSNK2A1_Homo sapiens
XRCC4	CSNK2A1_Homo sapiens
HDAC3	CSNK2A1_Homo sapiens
CDC37	CSNK2A1_Homo sapiens
SEPT2	CSNK2A1_Homo sapiens
CDC25B	CSNK2A1_Homo sapiens
COL17A1	CSNK2A1_Homo sapiens
KDM1A	CSNK2A1_Homo sapiens
MAX	CSNK2A1_Homo sapiens
HSP90AB1	CSNK2A1_Homo sapiens
NCOA2	CSNK2A1_Homo sapiens
PML	CSNK2A1_Homo sapiens
HDAC2	CSNK2A1_Homo sapiens
SLBP	CSNK2A1_Homo sapiens
NCOR1	CSNK2A1_Homo sapiens
CASP2	CSNK2A1_Homo sapiens
SNAI1	CSNK2A1_Homo sapiens
MYF5	CSNK2A1_Homo sapiens
SERPINF1	CSNK2A1_Homo sapiens
BRMS1	CSNK2A1_Homo sapiens
MECOM	CSNK2A1_Homo sapiens
MYCN	CSNK2A1_Homo sapiens
PIN4	CSNK2A1_Homo sapiens
EIF4EBP1	CSNK2A1_Homo sapiens
RANGAP1	CSNK2A1_Homo sapiens
ARNT	CSNK2A1_Homo sapiens
TYMS	CSNK2A1_Homo sapiens
PRPF3	CSNK2A1_Homo sapiens
STC2	CSNK2A1_Homo sapiens
RAD1	CSNK2A1_Homo sapiens
KIR3DL1	CSNK2A1_Homo sapiens
FGA	CSNK2A1_Homo sapiens
BIRC5	CSNK2A1_Homo sapiens
GPI	CSNK2A1_Homo sapiens
MRE11	CSNK2A1_Homo sapiens
HDAC6	CSNK2A1_Homo sapiens
TSPY1	CSNK2A1_Homo sapiens
PKD2	CSNK2A1_Homo sapiens
CDC25C	CSNK2A1_Homo sapiens
HDAC1	CSNK2A1_Homo sapiens
G3BP1	CSNK2A1_Homo sapiens
PTGES3	CSNK2A1_Homo sapiens
HNRNPA1	CSNK2A1_Homo sapiens
CAPZA1	CSNK2A1_Homo sapiens
HNRNPC	CSNK2A1_Homo sapiens
USP7	CSNK2A1_Homo sapiens
TTI1	CSNK2A1_Homo sapiens
SET iso2	CSNK2A1_Homo sapiens
VDR	CSNK2A1_Homo sapiens
WEE1	CSNK2A1_Homo sapiens
CETN1	CSNK2A1_Homo sapiens
CSNK2A1	CSNK2A1_Homo sapiens
CDK1	CSNK2A1_Homo sapiens
FOSB	CSNK2A1_Homo sapiens
PGR	CSNK2A1_Homo sapiens
SNCA	CSNK2A1_Homo sapiens
PDCD5	CSNK2A1_Homo sapiens
F5	CSNK2A1_Homo sapiens
RPS6KA4	CSNK2A1_Homo sapiens
MYBL2	CSNK2A1_Homo sapiens
LIG1	CSNK2A1_Homo sapiens
TFAP2A	CSNK2A1_Homo sapiens
RGS19	CSNK2A1_Homo sapiens
NR1H3	CSNK2A1_Homo sapiens
eIF4G iso8	CSNK2A1_Homo sapiens
PIK3R1	CSNK2A1_Homo sapiens
GMNN	CSNK2A1_Homo sapiens
CRMP1	AURKA_Homo sapiens
WDR62	AURKA_Homo sapiens
FAF1	AURKA_Homo sapiens
AURKA	AURKA_Homo sapiens
ARPC1B	AURKA_Homo sapiens
NUMA1	AURKA_Homo sapiens
MCRS1	AURKA_Homo sapiens
DCTN1	AURKA_Homo sapiens
RUNX3	AURKA_Homo sapiens
YAP1	AURKA_Homo sapiens
BRCA1	AURKA_Homo sapiens
SKI	AURKA_Homo sapiens
MYBBP1A	AURKA_Homo sapiens
GSK3B	AURKA_Homo sapiens
PHLDA1	AURKA_Homo sapiens
CENPJ	AURKA_Homo sapiens
CETN2	AURKA_Homo sapiens
VHL	AURKA_Homo sapiens
LIMK2	AURKA_Homo sapiens
PARD3	AURKA_Homo sapiens
NEDD1	AURKA_Homo sapiens
PLK1	AURKA_Homo sapiens
ESR1	AURKA_Homo sapiens
DLGAP5	AURKA_Homo sapiens
FADD	AURKA_Homo sapiens
LATS2	AURKA_Homo sapiens
TP73	AURKA_Homo sapiens
MBD3	AURKA_Homo sapiens
HIST1H3J	AURKA_Homo sapiens
MAP9	AURKA_Homo sapiens
PSEN2	AURKA_Homo sapiens
BCL2L11	AURKA_Homo sapiens
NEDD9	AURKA_Homo sapiens
NDC80	AURKA_Homo sapiens
TPX2	AURKA_Homo sapiens
MAPRE3	AURKA_Homo sapiens
TP53	AURKA_Homo sapiens
PIN1	AURKA_Homo sapiens
WWC1	AURKA_Homo sapiens
AR	AURKA_Homo sapiens
TIFA	AURKA_Homo sapiens
FANCA	AURKA_Homo sapiens
NUSAP1	AURKA_Homo sapiens
CENPA	AURKA_Homo sapiens
RASSF1 iso2	AURKA_Homo sapiens
MCM2	AURKA_Homo sapiens
GMNN	AURKA_Homo sapiens
RALA	AURKA_Homo sapiens
TACC3	AURKA_Homo sapiens
CDC25B	AURKA_Homo sapiens
Msn	Stk10_Mus musculus
GTF2F1	GTF2F1_Homo sapiens
RARG	GTF2F1_Homo sapiens
INCENP	LATS1_Homo sapiens
CDC26	LATS1_Homo sapiens
LATS1	LATS1_Homo sapiens
YAP1 iso2	LATS1_Homo sapiens
RAF1	LATS1_Homo sapiens
KIF23	LATS1_Homo sapiens
YAP1	LATS1_Homo sapiens
Stk17b	Stk17b_Mus musculus
Tbx21	Itk_Mus musculus
Itk	Itk_Mus musculus
PDGFRB	PDGFRB_Homo sapiens
PDGFRA	PDGFRB_Homo sapiens
PTK2	PDGFRB_Homo sapiens
ABL2	PDGFRB_Homo sapiens
THOC5	PDGFRB_Homo sapiens
FYN	PDGFRB_Homo sapiens
TNK2	PDGFRB_Homo sapiens
MUC1	PDGFRB_Homo sapiens
SRC	PDGFRB_Homo sapiens
FGFR4	FGFR4_Homo sapiens
CDK11B	CDK7_Homo sapiens
MCM2	CDK7_Homo sapiens
CDK2	CDK7_Homo sapiens
ESR1	CDK7_Homo sapiens
CDK6	CDK7_Homo sapiens
TP53	CDK7_Homo sapiens
POLR2A	CDK7_Homo sapiens
RARA	CDK7_Homo sapiens
XRN2	CDK7_Homo sapiens
E2F1	CDK7_Homo sapiens
CDK4	CDK7_Homo sapiens
SMAD1	CDK7_Homo sapiens
CDK1	CDK7_Homo sapiens
PCGF6	CDK7_Homo sapiens
RARG	CDK7_Homo sapiens
CDK12	CDK7_Homo sapiens
AR	CDK7_Homo sapiens
NR5A1	CDK7_Homo sapiens
Ripk1	Ripk1_Mus musculus
FAK iso3	Ptk2_Mus musculus
Cttn	Ptk2_Mus musculus
Wasl	Ptk2_Mus musculus
Ptk2	Ptk2_Mus musculus
Bcar1	Ptk2_Mus musculus
Egfr	Egfr_Mus musculus
Eps15	Egfr_Mus musculus
Gab1	Egfr_Mus musculus
Pld2	Egfr_Mus musculus
Znrf1	Egfr_Mus musculus
YAP1	STK38_Homo sapiens
STK38	STK38_Homo sapiens
RAB3IP	STK38_Homo sapiens
KIF23	STK38_Homo sapiens
Cd3e	Fyn_Mus musculus
Nox4	Fyn_Mus musculus
Nyap2	Fyn_Mus musculus
Nfe2l2	Fyn_Mus musculus
Prkcd	Fyn_Mus musculus
Grin2b	Fyn_Mus musculus
Gabrg2	Fyn_Mus musculus
Tom1l1	Fyn_Mus musculus
Ctnnb1	Fyn_Mus musculus
Gm45915	Fyn_Mus musculus
Was	Fyn_Mus musculus
Dlg2	Fyn_Mus musculus
Cdk5	Fyn_Mus musculus
Ctla4	Fyn_Mus musculus
PRKAB1	PRKAA1_Homo sapiens
Tau iso8	PRKAA1_Homo sapiens
ATG9A	PRKAA1_Homo sapiens
NET1	PRKAA1_Homo sapiens
PRKAA1	PRKAA1_Homo sapiens
SNX17	PRKAA1_Homo sapiens
HDAC5	PRKAA1_Homo sapiens
GAPDH	PRKAA1_Homo sapiens
GFAT iso2	PRKAA1_Homo sapiens
NOS3	PRKAA1_Homo sapiens
VASP	PRKAA1_Homo sapiens
ACACA	PRKAA1_Homo sapiens
PPP1R3C	PRKAA1_Homo sapiens
YAP1	PRKAA1_Homo sapiens
RACK1	PRKAA1_Homo sapiens
EPM2A	PRKAA1_Homo sapiens
RRN3	PRKAA1_Homo sapiens
KLC2	PRKAA1_Homo sapiens
KPNA2	PRKAA1_Homo sapiens
EEF2K	PRKAA1_Homo sapiens
PFKFB2	PRKAA1_Homo sapiens
CFTR	PRKAA1_Homo sapiens
FOXO3	PRKAA1_Homo sapiens
CDKN1B	PRKAA1_Homo sapiens
GLI1	PRKAA1_Homo sapiens
DDIT3	PRKAA1_Homo sapiens
PPP1R12C	PRKAA1_Homo sapiens
PAQR3	PRKAA1_Homo sapiens
TP53	PRKAA1_Homo sapiens
EGFR	PRKAA1_Homo sapiens
GBF1	PRKAA1_Homo sapiens
TNNI3	PRKAA1_Homo sapiens
RPTOR	PRKAA1_Homo sapiens
SLC12A1	PRKAA1_Homo sapiens
PIAS1	PRKAA1_Homo sapiens
PPP2R5C	PRKAA1_Homo sapiens
HNF4A	PRKAA1_Homo sapiens
CSNK1E	PRKAA1_Homo sapiens
ERBB2	PRKAA1_Homo sapiens
USP10	PRKAA1_Homo sapiens
Mnk1 iso2	PRKAA1_Homo sapiens
FANCA	PRKAA1_Homo sapiens
BECN1	PRKAA1_Homo sapiens
ULK1	PRKAA1_Homo sapiens
ZNF692	PRKAA1_Homo sapiens
TP73	PRKAA1_Homo sapiens
LIPE	PRKAA1_Homo sapiens
GFPT1	PRKAA1_Homo sapiens
SREBP-1 iso3	PRKAA1_Homo sapiens
EP300	PRKAA1_Homo sapiens
TBC1D1	PRKAA1_Homo sapiens
KLC1	PRKAA1_Homo sapiens
PFKFB3	PRKAA1_Homo sapiens
CGN	PRKAA1_Homo sapiens
SIRT2	PRKAA1_Homo sapiens
POU2F1	PRKAA1_Homo sapiens
CTBP1	PRKAA1_Homo sapiens
CTTN	PRKAA1_Homo sapiens
BRAF	PRKAA1_Homo sapiens
FOXO1	PRKAA1_Homo sapiens
SYK	PRKAA1_Homo sapiens
ACACB	PRKAA1_Homo sapiens
POLR2A	CDK12_Homo sapiens
HDAC5	CAMK4_Homo sapiens
CREB1	CAMK4_Homo sapiens
HNRNPL	CAMK4_Homo sapiens
PHB2	CAMK4_Homo sapiens
CAMK2A iso2	CAMK4_Homo sapiens
RELA	CAMK4_Homo sapiens
STMN1	CAMK4_Homo sapiens
PLD1	PRKAA2_Homo sapiens
HDAC5	PRKAA2_Homo sapiens
ACACA	PRKAA2_Homo sapiens
PARP1	PRKAA2_Homo sapiens
EEF2K	PRKAA2_Homo sapiens
DUSP1	PRKAA2_Homo sapiens
CDC27	PRKAA2_Homo sapiens
FOXO3	PRKAA2_Homo sapiens
GLI1	PRKAA2_Homo sapiens
PPP1R12C	PRKAA2_Homo sapiens
HAS2	PRKAA2_Homo sapiens
BAIAP2	PRKAA2_Homo sapiens
PAK2	PRKAA2_Homo sapiens
IKBKB	PRKAA2_Homo sapiens
TFAP2A	PRKAA2_Homo sapiens
NUAK1	STK38L_Homo sapiens
RAB3IP	STK38L_Homo sapiens
YAP1	STK38L_Homo sapiens
STK38L	STK38L_Homo sapiens
Cdk1	Wee2_Mus musculus
MFF iso4	Prkaa1_Mus musculus
Pde4b	Prkaa1_Mus musculus
Hist1h2bn	Prkaa1_Mus musculus
Gfpt1	Prkaa1_Mus musculus
Pak2	Prkaa1_Mus musculus
Pikfyve	Prkaa1_Mus musculus
Nudt14	Prkaa1_Mus musculus
Pdlim5	Prkaa1_Mus musculus
Rb1	Prkaa1_Mus musculus
Pnpla2	Prkaa1_Mus musculus
Cnbp	Prkaa1_Mus musculus
Cycs	Prkaa1_Mus musculus
Slc12a1	Prkaa1_Mus musculus
Lipe	Prkaa1_Mus musculus
PER2	CSNK1E_Homo sapiens
SNAI1	CSNK1E_Homo sapiens
TRPM4	CSNK1E_Homo sapiens
NCOA3	CSNK1E_Homo sapiens
CSNK1E	CSNK1E_Homo sapiens
DVL2	CSNK1E_Homo sapiens
LRP6	CSNK1E_Homo sapiens
CDH1	CSNK1E_Homo sapiens
TRAF3	CSNK1E_Homo sapiens
APC	CSNK1E_Homo sapiens
CTNNB1	CSNK1E_Homo sapiens
EIF4EBP1	CSNK1E_Homo sapiens
PRKD2	CSNK1E_Homo sapiens
CTNND1	CSNK1E_Homo sapiens
Stk11	Prkdc_Mus musculus
Zfp36	Mapkapk2_Mus musculus
Hspb1	Mapkapk2_Mus musculus
Hnrnpa0	Mapkapk2_Mus musculus
HDAC5	CAMK1_Homo sapiens
CDKN1B	CAMK1_Homo sapiens
GCM1	CAMK1_Homo sapiens
EIF4G3	CAMK1_Homo sapiens
MYL9	CAMK1_Homo sapiens
LIPE	CAMK1_Homo sapiens
CAMK2A iso2	CAMK1_Homo sapiens
RPS19	CAMK1_Homo sapiens
HDAC9	CAMK1_Homo sapiens
Crem	Rps6kb1_Mus musculus
Rps6	Rps6kb1_Mus musculus
Mdm2	Rps6kb1_Mus musculus
Gsk3b	Rps6kb1_Mus musculus
Cct2	Rps6kb1_Mus musculus
Stk11	Rps6kb1_Mus musculus
Cdkn2a	Rps6kb1_Mus musculus
RAD51	BCR/ABL_Homo sapiens
BCR	BCR/ABL_Homo sapiens
GRB2	BCR/ABL_Homo sapiens
RAD52	BCR/ABL_Homo sapiens
CRKL	BCR/ABL_Homo sapiens
CHCHD2	BCR/ABL_Homo sapiens
PTK2	YES1_Homo sapiens
WBP2	YES1_Homo sapiens
CDKN1B	YES1_Homo sapiens
DPYSL2	YES1_Homo sapiens
CDC37	YES1_Homo sapiens
CDK4	YES1_Homo sapiens
Tnni3	PKCB iso2_Mus musculus
Bad	Akt1_Mus musculus
Pak1	Akt1_Mus musculus
Esrrg	Akt1_Mus musculus
Bach2	Akt1_Mus musculus
Sik2	Akt1_Mus musculus
Map3k12	Akt1_Mus musculus
Cdc25b	Akt1_Mus musculus
Ndrg2	Akt1_Mus musculus
Foxo1	Akt1_Mus musculus
Tbc1d4	Akt1_Mus musculus
Pde3b	Akt1_Mus musculus
Acly	Akt1_Mus musculus
Pikfyve	Akt1_Mus musculus
Tsc2	Akt1_Mus musculus
Raf1	Akt1_Mus musculus
H3f3b	Akt1_Mus musculus
Map2k4	Akt1_Mus musculus
Grb10	Akt1_Mus musculus
Ctnnb1	Akt1_Mus musculus
Akt1	Akt1_Mus musculus
Mdm2	Akt1_Mus musculus
Gsk3b	Akt1_Mus musculus
Foxo3	Akt1_Mus musculus
Tbc1d1	Akt1_Mus musculus
Gata1	Akt1_Mus musculus
Rps6	Akt1_Mus musculus
Gli2	Akt1_Mus musculus
Ephb2	Ephb2_Mus musculus
SET iso2	PIK3CG_Homo sapiens
SRC	PIK3CG_Homo sapiens
PIK3CG	PIK3CG_Homo sapiens
PELI1	TBK1_Homo sapiens
SQSTM1	TBK1_Homo sapiens
OPTN	TBK1_Homo sapiens
SMCR8	TBK1_Homo sapiens
IRF3	TBK1_Homo sapiens
E2F1	TBK1_Homo sapiens
IRF7	TBK1_Homo sapiens
SIKE1	TBK1_Homo sapiens
AKT1	TBK1_Homo sapiens
STAT6	TBK1_Homo sapiens
TBK1	TBK1_Homo sapiens
IRF5	TBK1_Homo sapiens
RELA	TBK1_Homo sapiens
PEBP1	TBK1_Homo sapiens
ESR1	TBK1_Homo sapiens
TMEM173	TBK1_Homo sapiens
AML3 iso5	Hipk3_Mus musculus
TEK	TEK_Homo sapiens
HDAC5	PRKD3_Homo sapiens
PRKD1	PRKD3_Homo sapiens
GIT1	PRKD3_Homo sapiens
CSF1R	CSF1R_Homo sapiens
Tau iso8	PKCB iso2_Homo sapiens
ITGB2	PKCB iso2_Homo sapiens
TRPV1	PKCB iso2_Homo sapiens
DAB2	PKCB iso2_Homo sapiens
PKCB iso2	PKCB iso2_Homo sapiens
PPARA	PKCB iso2_Homo sapiens
ATF2	PKCB iso2_Homo sapiens
KIR3DL1	PKCB iso2_Homo sapiens
PTPN11	PKCB iso2_Homo sapiens
GSK3B	PKCB iso2_Homo sapiens
